,total_expr,mean_expr,median_expr,std_expr,n_expressed
G4YW_CD8_CM,0.182906239016952,0.1829062390169523,0.2755525036167854,-0.007652060642314268,0.12492862522372965
G4YW_CD8_EM,0.5799995181367815,0.5799995181367819,0.47434252762987617,0.5915299548678852,-0.8731454023228769
CYFZ_PBMC,0.5033866341438714,0.5033866341438715,0.35833426887778386,-0.7820855764375413,1.8457459140971892
FY2H_PBMC,0.3438365351827479,0.34383653518274926,0.18683585726499466,-0.012716716714532462,1.123002652770336
FLWA_PBMC,0.804488023766863,0.8044880237668628,0.48335974350665195,-0.530222322609276,1.7080805309873124
453W_PBMC,0.9124410200039749,0.9124410200039746,0.6802790696466243,-0.30211451422190333,1.5704151478774357
684C_PBMC,0.8362107883334885,0.8362107883334894,0.4496972196293842,-0.6794991287708351,1.639247839432374
CZJE_PBMC,0.45778690166813635,0.45778690166813757,0.215145046488686,-0.465984402891967,1.81132956831972
G4YW_CD8_TE,0.10632799837532801,0.10632799837532858,0.22785678442606971,0.42764479227087615,0.021679587891322072
G4YW_MAIT,-0.0774774465422159,-0.07747744654221446,0.21884642699855847,-0.36556179922051935,-0.04715310366361631
G4YW_VD2+,-0.0563271584844748,-0.056327158484474824,0.15925178999955303,-0.32499571016769935,0.05609593366879126
G4YW_VD2-,0.2751746454402489,0.2751746454402488,0.4495155029687661,-0.04185402098500935,0.29701035411107557
G4YW_TFH,0.12178573601539543,0.12178573601539679,0.13971352700474607,-0.4476025666148697,0.2625940083336064
G4YW_Treg,0.1886852106349711,0.1886852106349725,0.1489750153866303,-0.5270870017715973,0.40025939144348316
G4YW_Th1,-0.08845452810924563,-0.08845452810924509,-0.10616721062894806,-0.4362241617127565,0.5035084287758907
G4YW_Th1/Th17,-0.03320709927824828,-0.03320709927824682,-0.189449776994991,0.12155203494659036,0.2625940083336064
G4YW_Th17,0.357946476983757,0.3579464769837574,0.25640434973612036,-0.007163138548056014,0.365843045666014
G4YW_Th2,0.12579817121495224,0.12579817121495288,0.3165770655074686,-0.17026356987064734,0.6755901576632367
G4YW_CD4_naive,-0.20340148578119657,-0.2034014857811964,-0.06335966939177094,-0.21617563362351275,-0.5633982903256541
G4YW_Progenitor,1.5757213484693575,1.5757213484693586,1.3031486249593212,-2.0810364957913787,2.2587420634268196
G4YW_B_naive,-0.12639241110472,-0.12639241110471874,-0.1653153116251672,-1.2673721623758494,0.8820882323280519
G4YW_B_NSM,-0.022267218592886485,-0.022267218592885413,-0.07275582931549496,-0.7389835223628153,1.0197536154379285
G4YW_B_Ex,-0.6312566115438683,-0.6312566115438666,-0.6231814084085454,-1.3105050124096167,0.8132555407731135
G4YW_B_SM,-0.2750731008468031,-0.2750731008468024,-0.35865451125726455,-0.6430917526469252,0.22817766255613722
G4YW_Plasmablasts,-4.283432668520466,-4.283432668520464,-3.6476023905834194,-3.816689755278523,0.12492862522372965
G4YW_C_mono,-0.10542339463442524,-0.10542339463442377,-0.31310674895631235,0.8693749016472953,0.2625940083336064
G4YW_I_mono,-0.133904142916664,-0.13390414291666314,-0.18525149560140633,0.41277263697504274,0.7100065034407059
G4YW_NC_mono,-0.004397103428295457,-0.00439710342829479,-0.03825228818366751,1.0288691268968593,0.40025939144348316
G4YW_NK,0.7536965153414064,0.7536965153414065,0.6703739529526762,0.3743957349484716,0.8132555407731135
G4YW_pDC,-0.2708668265127592,-0.2708668265127582,-0.2146639248413998,0.6913805677671779,-0.8043127107679385
G4YW_mDC,0.017129916891800462,0.017129916891800503,0.15264436249661273,0.48230341859453923,0.744422849218175
G4YW_Neutrophils,-2.321724805730279,-2.3217248057302773,-2.991516362713938,1.9901918797491278,-2.525129999641398
G4YW_Basophils,-0.24237527219617874,-0.2423752721961779,-0.45054716729342575,0.4832505508968982,-0.7010636734355309
DZQV_PBMC,0.28277761471983953,0.2827776147198408,0.08981982237972619,-1.0539000982499789,2.0522439887620045
925L_PBMC,0.7790308990005763,0.7790308990005775,0.5133137841639005,-1.4090561068458398,2.327574754981758
9JD4_PBMC,0.5980423776985854,0.5980423776985858,0.4290125488163882,-1.1479149777917266,1.8801622598746583
G4YW_PBMC,0.5852316655101119,0.585231665510113,0.336883654328196,-0.9828516781921018,2.0522439887620045
4DUY_PBMC,0.6042259843550748,0.6042259843550748,0.4791970527600529,-0.8755595937624774,1.81132956831972
36TS_PBMC,-0.039315061016391956,-0.039315061016390804,-0.2499015593901235,-0.7526293191477377,2.0522439887620045
CR3L_PBMC,0.6131928731574481,0.6131928731574494,0.43302881543851385,-0.6852903869241709,1.639247839432374
